"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42271923981601,0.0600016218982935,-40.3775625252709,0,0,"CNN3","1266","Hs.483454"
"ENSG00000183508",2053.88135557663,3.20195534795427,0.0724172014757454,44.215397484349,0,0,"FAM46C","54855","Hs.356216"
"ENSG00000159176",5692.46278267679,-2.31373756503586,0.0575533663106313,-40.201602675124,0,0,"CSRP1","1465","Hs.108080"
"ENSG00000150938",7442.98631416393,-2.05963137024161,0.0538449075112273,-38.2511822461976,0,0,"CRIM1","51232","Hs.699247"
"ENSG00000116016",4423.94665216876,-1.8880193725334,0.0431679917758774,-43.7365579185558,0,0,"EPAS1","2034","Hs.468410"
"ENSG00000136068",3796.1265394147,-1.64979200672637,0.0439354370533388,-37.5503720316581,0,0,"FLNB","2317","Hs.476448"
"ENSG00000164251",2348.7701339719,3.3445083321361,0.0690717572655209,48.4207795565324,0,0,"F2RL1","2150","Hs.744181"
"ENSG00000124766",2576.65254960143,2.39228794576996,0.061708615181298,38.7674871448904,0,0,"SOX4","6659","Hs.643910"
"ENSG00000124762",28106.1191885778,1.83225777686375,0.0388966414279821,47.1058093860419,0,0,"CDKN1A","1026","Hs.370771"
"ENSG00000106366",43719.1260988373,-1.84404649934342,0.0419164996608882,-43.993332321689,0,0,"SERPINE1","5054","Hs.414795"
"ENSG00000188153",2944.12640623352,2.26608046261254,0.0552681287921954,41.0015774395557,0,0,"COL4A5","1287","Hs.369089"
"ENSG00000122861",28007.1433373973,2.26252546550258,0.0552183311595176,40.9741732137192,0,0,"PLAU","5328","Hs.77274"
"ENSG00000148773",1840.19727265675,-3.19605832567065,0.0757850351652842,-42.1726838115226,0,0,"MKI67","4288","Hs.80976"
"ENSG00000059804",3443.39680712992,2.07976295761976,0.0543254349135819,38.2834110933146,0,0,"SLC2A3","6515","Hs.419240"
"ENSG00000123416",4420.07398793879,-1.93841810360099,0.0505768630461291,-38.3261828997389,0,0,"TUBA1B","10376","Hs.524390"
"ENSG00000139289",12942.9106281238,2.03736205042695,0.0462973434178553,44.0060249686207,0,0,"PHLDA1","22822","Hs.602085"
"ENSG00000125257",6050.78726438958,1.95054949491349,0.0435953844406074,44.7421102013871,0,0,"ABCC4","10257","Hs.508423"
"ENSG00000211448",1884.75741158654,2.52372169452888,0.0653981298931795,38.590120216757,0,0,"DIO2","1734","Hs.202354"
"ENSG00000128917",1307.34250385583,3.85825311457409,0.0865185432075104,44.5945224172379,0,0,"DLL4","54567","Hs.511076"
"ENSG00000138623",2851.61916336974,-2.40668774845908,0.0581377318678258,-41.3963130507156,0,0,"SEMA7A","8482","Hs.24640"
"ENSG00000131747",1743.84285765667,-2.92418912756521,0.0696221034544582,-42.0008730342083,0,0,"TOP2A","7153","Hs.156346"
"ENSG00000167601",8245.06804500101,-2.14234576630771,0.0404435485638569,-52.9712609892559,0,0,"AXL","558","Hs.590970"
"ENSG00000198743",1999.10327890814,2.53453041313559,0.0670975518001015,37.7738135764852,0,0,"SLC5A3","6526","Hs.302742"
"ENSG00000074800",18390.4756149844,-1.33893117834409,0.0358590275895907,-37.3387475440844,3.86082290934646e-305,2.37086700158117e-302,"ENO1","2023","Hs.517145"
"ENSG00000181104",14922.5173336984,1.66815955567935,0.0447581299294202,37.2705374042637,4.92673245580493e-304,2.90440731734612e-301,"F2R","2149","Hs.482562"
"ENSG00000115963",13232.3301349766,1.80533073536896,0.0488625142075163,36.9471519148978,8.0923110821111e-299,4.58709541262128e-296,"RND3","390","Hs.6838"
"ENSG00000104368",13214.4968037918,2.02763709005456,0.055046085524653,36.8352639561711,5.03520683530705e-297,2.74847697550945e-294,"PLAT","5327","Hs.491582"
"ENSG00000157680",1359.0634938634,2.54493702368437,0.0693613893225829,36.6909753183935,1.01726618410976e-294,5.35445322193201e-292,"DGKI","9162","Hs.242947"
"ENSG00000074416",2392.80973934457,-2.14808670764645,0.0589063480898186,-36.4661327225907,3.81873143504009e-291,1.94070565136623e-288,"MGLL","11343","Hs.277035"
"ENSG00000104081",804.838487338129,4.43413656938239,0.121636384406073,36.454031341308,5.93856218013415e-291,2.91741764702723e-288,"BMF","90427","Hs.591104"
"ENSG00000166073",2268.80918089117,-2.2066708419761,0.0608219606307424,-36.2808238848641,3.24649821955655e-288,1.5434480890266e-285,"GPR176","11245","Hs.37196"
"ENSG00000165434",1243.14971044106,2.51723600339355,0.0694013569941896,36.2707029432335,4.68797353190449e-288,2.15910480978776e-285,"PGM2L1","283209","Hs.26612"
"ENSG00000091527",2814.15907315816,-1.81023338577256,0.0499749029758702,-36.2228494299751,2.65984835179319e-287,1.18790439420388e-284,"CDV3","55573","Hs.518265"
"ENSG00000033867",3157.52042924196,1.93501315031032,0.0535351847027431,36.1446992488132,4.50689778489081e-286,1.95360763393296e-283,"SLC4A7","9497","Hs.250072"
"ENSG00000117724",1324.17284690485,-2.82511200625218,0.0781715114729355,-36.1399178936216,5.35778353341939e-286,2.21230320942358e-283,"CENPF","1063","Hs.497741"
"ENSG00000101825",1024.97040543336,3.2876630415376,0.0909710037522486,36.139680842604,5.40391610389802e-286,2.21230320942358e-283,"MXRA5","25878","Hs.369422"
"ENSG00000198959",5110.85796803933,-1.74624587694995,0.0487932042517388,-35.7887108200671,1.65485249252765e-280,6.59168000942501e-278,"TGM2","7052","Hs.517033"
"ENSG00000164938",1395.92210584831,2.31778202055933,0.0656155292094829,35.3236809713081,2.5430570748876e-273,9.86304609728774e-271,"TP53INP1","94241","Hs.492261"
"ENSG00000073712",2356.74691021858,-2.3051528590294,0.0653960004274723,-35.2491412924547,3.53646850171509e-272,1.33642237893018e-269,"FERMT2","10979","Hs.509343"
"ENSG00000143799",1043.84682510942,-2.61747584698133,0.0743747823896548,-35.1930555341753,2.55367981602563e-271,9.40903328214643e-269,"PARP1","142","Hs.177766"
"ENSG00000196549",1520.30148791169,2.83743506770559,0.0806594353570002,35.1779683944854,4.34407225865592e-271,1.56153504751393e-268,"MME","4311","Hs.307734"
"ENSG00000110002",899.504360793506,4.43907473642135,0.126316442695775,35.1424932628333,1.51368681107371e-270,5.311599100382e-268,"VWA5A","4013","Hs.152944"
"ENSG00000088325",1049.74978195443,-3.01204014087113,0.0861136723498782,-34.9774903180678,4.94847109753364e-268,1.69605969849886e-265,"TPX2","22974","Hs.244580"
"ENSG00000133318",1500.97300012898,-2.41401849883444,0.06906807218876,-34.9512940253644,1.23760619418334e-267,4.14541820224411e-265,"RTN3","10313","Hs.743229"
"ENSG00000154864",1374.01910088605,2.35786042990079,0.0676832762470135,34.8366769554071,6.77554401264192e-266,2.21906594796259e-263,"PIEZO2","63895","Hs.436902"
"ENSG00000197321",4211.22514661471,1.73283927593519,0.0497514630841917,34.8299159162978,8.5764726723199e-266,2.74782726618806e-263,"SVIL","6840","Hs.499209"
"ENSG00000182752",6930.41939676306,2.01487019569894,0.0588365433182833,34.2452170379769,5.13836406675883e-257,1.61125977906153e-254,"PAPPA","5069","Hs.643599"
